id,work_year,experience_level,experience_label,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
30,2020,EN,Entry-level,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
31,,EN,Entry-level,FT,Data Analyst,50000,EUR,59601,FR,50,FR,M
32,,SE,Senior-level,FT,Data Analyst,80000,USD,80000,BG,100,US,S
33,2020,EN,Entry-level,FT,Data Analyst,10000,USD,10000,NG,100,NG,S
34,2020,EN,Entry-level,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
35,,MI,Mid-level,FT,Data Engineer,140000,USD,140000,US,100,US,L
36,,SE,Senior-level,FT,Data Analytics Engineer,67000,EUR,79866,DE,100,DE,L
37,,SE,Senior-level,FT,Lead Data Analyst,170000,USD,170000,US,100,US,L
38,,EN,Entry-level,FT,Data Analyst,80000,USD,80000,US,100,US,M
39,2020,MI,Mid-level,FT,Data Scientist,45760,USD,45760,PH,100,US,S
40,,MI,Mid-level,FT,BI Data Analyst,100000,USD,100000,US,100,US,M
41,,SE,Senior-level,FT,Data Scientist,45000,EUR,53641,FR,50,FR,L
42,,EX,Executive-level,FT,Head of Data,235000,USD,235000,US,100,US,L
43,,EX,Executive-level,FT,BI Data Analyst,150000,USD,150000,IN,100,US,L
44,2020,EX,Executive-level,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,L
45,,EN,Entry-level,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
46,,EN,Entry-level,FT,Data Science Consultant,65000,EUR,77481,DE,100,DE,S
47,2020,MI,Mid-level,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M
48,,SE,Senior-level,FT,Marketing Data Analyst,75000,EUR,89402,GR,100,DK,L
49,,SE,Senior-level,FT,Lead Data Engineer,75000,GBP,103750,GB,100,GB,S
50,,SE,Senior-level,FT,Director of Data Engineering,82500,GBP,114125,GB,100,GB,M
51,,SE,Senior-level,FT,Machine Learning Engineer,80000,EUR,95362,DE,50,DE,L
52,,EN,Entry-level,FT,Data Engineer,2250000,INR,30509,IN,100,IN,L
53,,SE,Senior-level,FT,Data Engineer,150000,USD,150000,US,100,US,M
54,,SE,Senior-level,FT,Data Engineer,115000,USD,115000,US,100,US,S
55,,MI,Mid-level,FT,Research Scientist,235000,CAD,187917,CA,100,CA,L
56,,MI,Mid-level,FT,Data Analyst,37456,GBP,51814,GB,50,GB,L
57,2020,MI,Mid-level,FT,Data Engineer,106000,USD,106000,US,100,US,L
58,2020,MI,Mid-level,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L
59,,MI,Mid-level,FT,BI Data Analyst,11000000,HUF,36732,HU,50,US,L
60,,SE,Senior-level,FT,Data Engineer,150000,USD,150000,US,100,US,L
